EC,NH3N,O2-Dis,TEMP,pH
675,0.05,11.75,6,8.4
677,0.05,12.6,5,8.3
677,0.05,12.75,4,8.2
860,0.023,10.9,4.5,8.3
621,0.06,11.8,4.5,8.1
701,0.085,10.4,16,8.3
997,0.055,8,16,7.8
870,0.052,8.68,14,8.1
610,0.05,12.2,20.2,8.5
650,0.05,10.4,10,8.2
856,0.023,10.3,5,8.1
684,0.069,12.55,5,8.2
934,0.03,10.7,6.5,7.9
750,0.14,11.5,8,8.5
649,0.079,10.9,8.8,8.4
740,0.05,10,11,8.1
655,0.08,8.6,18,8.4
659,0.111,12.1,4,8.2
632,0.104,11.2,4.9,8.2
682,0.131,12.5,3,8.2
913,0.058,10.7,5,7.9
668,0.17,10.7,9,8.3
941,0.023,10.2,12,7.9
680,0.054,12.45,5.5,8.3
703,0.11,16.5,5,7.8
879,0.075,12.1,3,7.7
640,0.05,12.4,7.3,8.4
645,0.05,11.8,8,8.4
746,0.05,12,6,8.2
686,0.091,11,8,8.3
629,0.078,10.1,16.4,8.4
637,0.05,9.3,15,8.2
761,0.055,10,7,7.9
849,0.025,10.2,5,7.8
839,0.064,12.6,5,7.9
675,0.05,11.2,8,8.3
677,0.097,9.6,14,8.3
625,0.094,10.2,5.3,8.2
700,0.091,11.85,6,8.1
935,0.047,10.4,7,8
660,0.05,13.6,3.5,8.6
682,0.051,12,6,8.3
605,0.05,13.2,21,8.5
637,0.096,8.5,18,8.3
657,0.097,11.3,6,8.2
811,0.074,12,4.5,8.1
655,0.081,12.55,5,8.2
664,0.054,12.3,5,8.3
648,0.113,9.4,15,8.4
641,0.122,9,10.2,8.2
677,0.05,12.45,6,8.4
677,0.05,12.2,6,8.2
863,0.05,10.9,10,8
689,0.114,9.65,14.5,8.4
639,0.05,9.6,18.5,8.3
646,0.05,10.55,9.5,8.3
686,0.076,12.15,5,8.2
647,0.05,8,18,8.2
673,0.054,11.35,8,8.3
657,0.106,13.2,2.5,7.9
691,0.052,12.85,4,8.2
673,0.099,10.9,12,8.3
689,0.078,8.95,16,8.2
630,0.075,8.4,13.2,8.3
777,0.059,11.3,6,8.1
675,0.05,12.65,4,8.2
691,0.108,10.85,10,8.3
637,0.05,9.7,12,8.4
773,0.04,9.1,8,8.4
691,0.05,11.1,9,8.4
642,0.054,8.85,17,8.4
621,0.056,11,18.2,8.3
635,0.05,9.8,16.8,8.3
686,0.111,9.95,12,8.2
822,0.074,9.85,10,8.1
625,0.099,10.4,4.8,8.2
691,0.111,12.35,3,8.1
686,0.052,11.9,8,8.3
695,0.096,8.6,13,8.3
677,0.102,9.2,15.5,8.4
644,0.05,8.1,18,8.3
653,0.078,11.8,5,8.2
659,0.086,12.5,5,8.3
650,0.05,12,5.5,8.3
642,0.05,12.8,4.2,8.5
641,0.05,9.8,13,8.5
618,0.05,10.8,16.5,8.4
673,0.05,9.8,14,8.5
680,0.05,12.1,6,8.3
680,0.079,12.4,5,8.3
675,0.111,12.1,6,8.2
677,0.074,9.5,15.5,8.4
643,0.05,9,17.5,8.5
751,0.05,8.9,13,8.5
659,0.05,11,9,8.3
788,0.074,9.59,8,7.8
642,0.05,11.2,12.8,8.5
638,0.05,9.1,19,8.4
679,0.05,11.4,8,8.2
662,0.102,12.8,2,8.2
691,0.05,12,5,8.2
665,0.05,10.7,12,8.5
677,0.05,9.3,18,8.4
732,0.04,8.15,16,7.9
625,0.05,8.6,11.8,8.3
678,0.05,13.05,4,8.2
640,0.05,12.1,10,8.6
688,0.077,10.9,11,8.4
620,0.072,10.2,18.2,8.4
650,0.05,10.05,11.5,8.2
834,0.044,7.91,11,8
770,0.04,11,7.5,8.3
635,0.05,14.2,9.2,8.6
645,0.05,9.8,17,8.3
684,0.05,10.5,11.5,8.3
777,0.05,9.84,12,8
740,0.05,10.5,19,8.1
727,0.061,12.05,3.5,8.2
674,0.066,10.7,8.5,8.3
682,0.05,9.95,16,8.5
738,0.04,8.05,18,7.7
738,0.06,9.5,23,8.2
658,0.138,12.35,4,8.2
664,0.057,12.2,4,8.2
646,0.05,12.1,6,8.3
879,0.038,10.15,13,8.1
650,0.05,9.55,16,8.4
682,0.09,9.3,16,8.4
635,0.09,10.6,7.9,8.3
682,0.05,10.1,4,8.3
673,0.093,11.65,7.5,8.3
680,0.05,9.6,15.5,8.5
655,0.05,10.75,8,8.2
762,0.069,7.5,17,7.8
637,0.066,8.6,18,8.2
659,0.105,13.2,4,8.2
684,0.067,12.45,4,8.2
656,0.087,10.05,12.5,8.4
677,0.063,9.35,16,8.2
756,0.05,9.97,17,8.1
628,0.071,8.3,11.2,8.3
678,0.05,13.05,5,8.2
730,0.03,12.7,3,8.3
689,0.067,10.65,13,8.4
792,0.04,8,16,8
750,0.03,8.7,21,8.2
628,0.05,9.5,17.2,8.2
637,0.05,10.35,10,8.3
861,0.038,10,8,7.9
699,0.055,11.1,8,8
829,0.029,7.31,16,8.3
653,0.05,9.1,18,8.4
625,0.05,8.8,15.2,8.4
673,0.057,10.4,11.5,8.3
880,0.033,9.7,10,8
701,0.065,12.55,4,8.2
676,0.067,11.4,8,8.3
635,0.152,9.2,15.8,8.2
730,0.03,9.33,18,8.3
876,0.043,7.55,18,8.1
641,0.05,8.9,16,8.3
902,0.032,9.05,15,7.9
659,0.068,12.3,3,8.2
640,0.08,12,6.5,8.3
650,0.08,9.8,15,8.3
930,0.03,8.1,19,8
677,0.075,9.6,16,8.3
886,0.038,8.15,11,7.9
645,0.118,10.3,6.2,8.3
659,0.076,12.25,6,8.2
674,0.05,11.4,8,8.3
869,0.023,11,8,8.2
764,0.05,9.8,20,8.1
160,0.9,3,28,7.5
157,1.2,1.2,27,6.9
200,1.1,1.8,30,6.8
213,1.15,0.9,28,6.8
152,0.92,1.5,28,7.3
240,1.6,0.2,29,7.2
150,1.4,1.3,29,7.1
145,0.7,2.7,28,6.7
178,1.2,1.8,29,6.9
146,1.05,2.5,30,7
115,0.99,2.2,28,7.3
200,0.8,3.2,27,7.1
130,0.44,5.2,27,6.6
200,1.4,0.52,27,6.9
160,0.92,1.6,29,6.8
200,1.31,0.97,28,7.4
155,1.3,1.5,26,6.7
172,1.2,1,28,7.1
160,1.4,0.4,28,7.2
162,0.84,2.3,26,6.4
160,1.2,0.66,28,6.9
139,1.41,1,28,6.2
200,1.1,2.2,28,7
200,0.87,1.9,28,6.8
149,1.4,0.83,29,7.1
160,0.72,3.5,30,7
230,1.2,1.2,29,7.3
185,0.98,1.9,28,7.1
270,0.96,1.2,30,7
220,1.2,2.4,30,6.9
240,0.78,2.1,28,7.2
190,1.1,2.6,30,7.1
140,0.31,4.1,26,7.7
190,0.98,3.1,31,6.9
176,0.67,4.1,29,7.5
150,0.66,2.9,27,6.9
165,0.89,1.9,29,6.9
210,0.98,2.7,29,6.9
187,0.54,3.9,29,7.7
280,1.51,0.9,30,7.2
240,0.75,3,27,6.9
144,0.35,4.3,28,7
250,1,2.6,28,6.8
220,1.57,1.2,29,6.8
250,0.54,3.8,31,7.1
200,1.1,2.6,28,7.2
155,1.2,2.8,28,6.8
200,0.84,3.4,30,7.5
126,0.48,3.5,28,6.9
250,1.7,0.1,29,7.1
275,0.72,3.5,30,7
180,1.2,2.4,30,7
210,0.6,3,28,6.9
180,0.7,3.5,29,7.5
190,1.1,2.3,29,7.1
200,0.78,2.7,30,6.9
140,1,3.7,26,7
191,0.1,6.9,28,8.8
210,0.15,8.4,28,8.4
225,0.07,6.6,29,8.7
195,0.05,5.5,28,8
160,0.06,6.8,27,7.9
155,0.27,7,28,7.9
200,0.07,8.6,28,9
240,0.06,6.3,28,8.1
175,0.15,7.8,29,8.7
220,0.13,6.7,28,7.6
180,0.06,7.3,29,8.4
180,0.17,7.1,25,8
184,0.2,8.9,27,8.6
163,0.06,6.1,29,8.6
280,0.02,7.8,27,8.4
290,0.2,5.8,25,7.3
170,0.002,7.3,29,8.1
200,0.04,7.5,26,8.5
170,0.011,5.8,29,7.6
168,0.24,7,28,8.6
163,0.17,7.2,26,8
168,0.1,6.8,30,8.6
200,0.19,6.1,27,7.6
220,0.06,6.5,29.5,7.8
260,0.08,6.8,29,8.4
220,0.17,7.1,30,7.8
200,0.26,7.6,27,7.8
170,0.02,6.6,28,7.7
209,0.31,6.3,29,8.6
220,0.15,7.3,28,7.9
190,0.048,8.9,28,8.3
250,0.25,8.4,26,8.5
269,0.12,6.4,28,8.1
187,0.22,6.9,28,8
189,0.21,8.6,29,8.5
200,0.14,7.5,29,8.8
210,0.21,7.1,28,8.4
200,0.08,7.4,29,8.1
240,0.2,6.6,28,8
255,0.18,8.5,29,8.4
197,0.26,6.5,29,7.7
175,0.06,6.7,28,8
220,0.01,7.5,27,7.8
220,0.01,7.8,28,8
170,0.09,7.6,28.5,8
220,0.01,7.2,27,7.7
358,0.01,7.2,30,8.8
160,0.01,7.7,26,7.9
162,0.01,6.2,24,8.1
219,0.01,6.9,26,7
176,0.01,7.3,25,8
231,0.01,6.5,28,8.4
270,0.01,7.4,28,8.2
178,0.01,6.7,26,8.2
430,0.01,6.72,28,7.7
326,0.01,7.4,28,7.5
302,0.01,7.97,28,8.4
135,0.01,6.5,25,8.1
300,0.01,7.7,26,7.5
220,0.01,6.2,28,7.8
280,0.01,6.8,29,8.1
294,0.01,5.8,28,8.2
260,0.01,7.4,27,7.5
221,0.01,8.2,28,8.2
218,0.09,7.5,29,8.3
187,0.01,7.2,28,8.3
134,0.04,7.9,27,7.9
184,0.01,7.4,25,7.7
160,0.06,7.6,28,7.6
167,0.01,8.3,26,8.1
271,0.04,7.8,29,8.5
205,0.01,6.9,27,8
226,0.01,6.2,27.5,8
208,0.01,7.1,25,8.3
160,0.01,6.8,30,8.1
163,0.02,7.4,27,8.1
173,0.01,8.6,24,7.8
182,0.01,7.1,30,7.5
281,0.01,6.8,26.5,8
247,0.02,6.6,29,8.1
330,0.01,7.6,28,8.5
325,0.01,7.5,27.5,8.4
210,0.01,6.9,27,8.1
120,0.01,8.05,27,7.5
275,0.07,7.3,28,8.4
296,0.01,7.08,26,7.3
80,0.03,13.3,3.8,7.21
93,0.02,12.7,4.1,7.39
92,0.08,12.5,3.1,7.42
85,0.12,13.2,4.9,7.1
76,0.02,13.2,5.1,7.28
64,0.03,13,6.7,7.39
81,0.14,12.6,9,6.7
75,0.06,9.6,16.4,7.4
54,0.02,9.8,15.6,7.29
53,0.01,10.7,17.3,7.41
58,0.03,11,15.8,7.36
51,0.1,8.6,17.5,7.4
55,0.04,9,19,7.14
48,0.01,9.5,18.1,7.12
42,0.07,10.6,18.3,7.26
66,0.02,12.9,22.5,7.3
74,0.02,8.6,21.9,7.17
66,0.01,9.9,18.9,7.53
67,0.08,8.5,22.2,6.9
64,0.08,8.2,22.2,7.2
42,0.02,8.6,22,7.25
77,0.03,8.9,22.2,7.55
44,0.05,9.6,17.3,7.07
79,0.03,9.4,17.2,7.4
74,0.06,10.9,8.8,7.2
85,0.06,11.8,9,7.37
77,0.03,11.6,9.6,7.45
122,0.18,13.2,4.8,7.2
82,0.08,12.8,4.9,7.4
79,0.07,13.6,0.3,7
92,0.06,13,5.2,7.26
69,0.05,13.4,4.2,7.42
60,0.1,12,5.5,7.1
99,0.05,13,5.4,7.26
70,0.01,11.9,5.4,7.15
44,0.03,12.9,8.4,7.31
49,0.05,11.5,9,7.1
48,0.01,11.3,10.1,7.06
69,0.06,11,15.2,7.1
49,0.01,9.4,16.6,7.19
59,0.05,9.7,17.4,7.48
51,0.05,8.7,17.5,7.3
69,0.03,9,18.8,7.09
56,0.03,8.2,20.8,7.3
100,0.03,7.2,26,7.4
87,0.01,8.6,22.7,7.67
72,0.08,8.5,23.5,7.1
81,0.08,8.3,22.2,7.18
46,0.01,9.1,19.6,6.96
36,0.02,10.3,19.5,6.65
72,0.05,8.2,20,7.18
83,0.03,8.9,19.1,7.26
75,0.01,9.1,19.9,7.46
128,0.16,10.2,8.5,6.9
44,0.02,10.4,10.9,7.13
46,0.02,10.8,11.9,7.05
106,0.02,11.3,8.8,7.49
64,0.1,13.4,3.8,7.1
89,0.06,13.4,3.3,7.13
94,0.04,13,4.2,7.26
83,0.04,13.5,5.5,7.42
81,0.11,12.3,4.5,7.1
62,0.02,12.6,6.6,7.53
70,0.02,12.7,5.3,7.42
59,0.03,10.5,16.2,7.2
74,0.13,9.3,16.5,7.1
69,0.04,9.6,16.1,7.3
63,0.01,10,17.4,7.29
49,0.02,9.6,18.5,7.12
55,0.02,9.5,18.5,7.32
54,0.05,8.8,19.7,7.2
62,0.02,8,21.6,7.48
85,0.02,8.9,23.6,7.31
53,0.02,9.6,21.2,7.38
68,0.05,7,24,7.21
60,0.05,8.8,22.1,7.1
42,0.02,8.2,19.9,7.3
85,0.01,8,24.6,7.19
75,0.05,8.3,19,7.3
65,0.02,9.4,17,7.16
83,0.01,10,18.9,7.61
55,0.05,11.7,9,6.85
67,0.07,11.8,7.3,7.01
52,0.01,11.2,10.3,7.1
73,0.08,11.4,8.2,7.2
87,0.01,11.3,7.6,7.1
99,0.04,12.5,5.2,7.31
73,0.07,13.4,5,7.1
106,0.13,12.4,3.1,7.35
73,0.01,12.8,3.6,7.16
83,0.12,12.2,5.5,7.1
103,0.24,12.8,4.3,6.88
85,0.07,12.5,5.8,7.43
48,0.01,12.3,5.6,7
109,0.02,13.1,4.8,7.58
66,0.07,11.2,16.5,7.2
68,0.07,9.5,17.1,7.2
86,0.1,9.2,17,7.4
78,0.02,10.4,17.5,7.34
59,0.02,9.2,19.9,7.15
71,0.02,9.9,19.5,7.45
56,0.05,9.6,23.2,7.2
70,0.08,8.6,21.3,6.8
79,0.07,8.2,23.1,7.4
61,0.02,8.5,22,7.3
41,0.05,10,19.3,7.38
45,0.04,9.2,21,6.9
84,0.01,8.3,22.6,7.16
68,0.02,8.1,21,7.34
59,0.04,10.1,16.3,7.4
62,0.03,9.8,16.5,7.2
55,0.05,9.2,18.5,7.2
93,0.02,8.7,20.8,7.18
104,0.19,9.6,13,7.4
102,0.1,10.9,13,7.26
71,0.02,10.4,13.7,7.1
91,0.03,10.2,14.2,7.38
94,0.1,12.6,5.3,7.29
94,0.01,10.8,8.8,7.29
99,0.03,12.1,8.6,7.42
105,0.06,12.3,4.9,7.4
89,0.02,12.6,5.2,7.46
