created_at,entry_id,Temp,Turbidity,DO,PH,Ammonia,Nitrate,latitude,longitude,elevation,status
2021-06-23 04:00:40 CET,12502,25.1875,35,27.633,7.88891,inf,784,,,,
2021-06-23 04:00:59 CET,12503,25.1875,35,27.064,7.89345,inf,784,,,,
2021-06-23 04:01:55 CET,12504,25.1875,35,27.489,7.89345,inf,783,,,,
2021-06-23 04:02:15 CET,12505,25.1875,35,31.045,7.88891,inf,784,,,,
2021-06-23 04:02:34 CET,12506,25.1875,34,25.158,7.87529,inf,784,,,,
2021-06-23 04:03:31 CET,12507,25.1875,35,29.667,7.88891,inf,784,,,,
2021-06-23 04:04:28 CET,12508,25.1875,34,30.452,7.88891,inf,784,,,,
2021-06-23 04:04:47 CET,12509,25.1875,35,27.016,7.88891,inf,786,,,,
2021-06-23 04:05:44 CET,12510,25.1875,35,26.88,7.89345,inf,784,,,,
2021-06-23 04:06:03 CET,12511,25.1875,34,27.689,7.88437,inf,784,,,,
2021-06-23 04:06:23 CET,12512,25.1875,35,26.896,7.89799,inf,784,,,,
2021-06-23 04:06:42 CET,12513,25.1875,35,26.608,7.89799,inf,785,,,,
2021-06-23 04:07:02 CET,12514,25.1875,35,27.689,7.88891,inf,784,,,,
2021-06-23 04:07:21 CET,12515,25.1875,35,27.417,7.88437,inf,786,,,,
2021-06-23 04:07:41 CET,12516,25.25,35,26.984,7.88891,inf,786,,,,
2021-06-23 04:08:01 CET,12517,25.25,35,26.92,7.88891,inf,784,,,,
2021-06-23 04:08:20 CET,12518,25.1875,35,29.884,7.87075,inf,784,,,,
2021-06-23 04:08:40 CET,12519,25.1875,35,27.233,7.89345,inf,786,,,,
2021-06-23 04:08:59 CET,12520,25.1875,36,26.84,7.88891,inf,787,,,,
2021-06-23 04:10:32 CET,12521,25.1875,35,26.76,7.88891,inf,784,,,,
2021-06-23 04:12:42 CET,12522,25.1875,34,29.852,7.88437,inf,784,,,,
2021-06-23 04:13:02 CET,12523,25.125,35,27.152,7.89345,inf,783,,,,
2021-06-23 04:13:21 CET,12524,25.125,35,26.912,7.89345,inf,784,,,,
2021-06-23 04:14:18 CET,12525,25.1875,36,26.656,7.88891,inf,784,,,,
2021-06-23 04:14:38 CET,12526,25.1875,35,30.717,7.88891,inf,785,,,,
2021-06-23 04:14:57 CET,12527,25.1875,35,28.61,7.89799,inf,786,,,,
2021-06-23 04:15:17 CET,12528,25.1875,35,30.108,7.88891,inf,784,,,,
2021-06-23 04:15:36 CET,12529,25.125,35,34.273,7.88437,inf,786,,,,
2021-06-23 04:15:56 CET,12530,25.1875,37,29.083,7.88437,inf,763,,,,
2021-06-23 04:16:15 CET,12531,25.125,35,27.216,7.88891,inf,786,,,,
2021-06-23 04:16:35 CET,12532,25.1875,35,26.263,7.88437,inf,784,,,,
2021-06-23 04:17:31 CET,12533,25.125,35,28.266,7.88891,inf,783,,,,
2021-06-23 04:17:51 CET,12534,25.125,35,26.464,7.88437,inf,784,,,,
2021-06-23 04:18:10 CET,12535,25.1875,35,24.846,7.88437,inf,786,,,,
2021-06-23 04:18:30 CET,12536,25.125,35,30.869,7.88437,inf,787,,,,
2021-06-23 04:18:50 CET,12537,25.125,35,26.311,7.89345,inf,784,,,,
2021-06-23 04:20:23 CET,12538,25.125,35,25.639,7.90253,inf,785,,,,
2021-06-23 04:20:43 CET,12539,25.125,35,21.85,7.88437,inf,789,,,,
2021-06-23 04:21:03 CET,12540,25.1875,35,26.976,7.89799,inf,789,,,,
2021-06-23 04:21:22 CET,12541,25.1875,35,23.636,7.87529,inf,790,,,,
2021-06-23 04:21:42 CET,12542,25.1875,35,28.506,7.89799,inf,785,,,,
2021-06-23 04:22:01 CET,12543,25.125,35,27.16,7.88891,inf,791,,,,
2021-06-23 04:22:21 CET,12544,25.125,35,28.17,7.89799,inf,789,,,,
2021-06-23 04:22:41 CET,12545,25.1875,35,26.76,7.87529,inf,785,,,,
2021-06-23 04:23:37 CET,12546,25.125,35,33.344,7.88891,inf,786,,,,
2021-06-23 04:23:57 CET,12547,25.125,35,24.461,7.89345,inf,786,,,,
2021-06-23 04:24:16 CET,12548,25.125,35,28.346,7.89799,inf,789,,,,
2021-06-23 04:24:36 CET,12549,25.1875,35,27.409,7.89345,inf,787,,,,
2021-06-23 04:24:56 CET,12550,25.1875,35,25.374,7.88891,inf,786,,,,
2021-06-23 04:25:15 CET,12551,25.1875,35,28.618,7.91615,inf,791,,,,
2021-06-23 04:25:35 CET,12552,25.1875,35,27.064,7.89799,inf,791,,,,
2021-06-23 04:25:54 CET,12553,25.1875,35,27.537,7.89345,inf,789,,,,
